iter	Logloss
155	0.4915091002
156	0.4913076739
157	0.4910026409
158	0.4907481953
159	0.4905518298
160	0.4903175722
161	0.490029591
162	0.4898044721
163	0.4896280871
164	0.4892900589
165	0.4891183292
166	0.4888928378
167	0.4886708121
168	0.4884806897
169	0.4882543528
170	0.4880229861
171	0.4878441529
172	0.4875789985
173	0.4873646083
174	0.4870857728
175	0.4869164787
176	0.4867604572
177	0.4865120839
178	0.4863900507
179	0.4862097302
180	0.4860485439
181	0.4858241697
182	0.4856344794
183	0.4854339202
184	0.4853033488
185	0.485020577
186	0.4848729717
187	0.4846892652
188	0.4846010065
189	0.4843839922
190	0.4841821763
191	0.4840037089
192	0.4837812194
193	0.4835808035
194	0.4834734325
195	0.4833326554
196	0.4831255988
197	0.4829201207
198	0.4827660832
199	0.482635199
200	0.4825288732
201	0.4824055672
202	0.4822194771
203	0.4821155315
204	0.4820358301
205	0.4819235688
206	0.4817994484
207	0.481665913
208	0.4815085356
209	0.4814102287
210	0.4812691522
211	0.4810383424
212	0.4808568106
213	0.4807123608
214	0.4806162381
215	0.4804965917
216	0.480322085
217	0.4801942153
218	0.4800597537
219	0.4799382148
220	0.4798085237
221	0.4797262663
222	0.4796135049
223	0.4795302228
224	0.479412522
225	0.4792827987
226	0.4791610248
227	0.479151286
228	0.4790563681
229	0.4789522228
230	0.4787912206
231	0.4786298186
232	0.4784702339
233	0.4783247793
234	0.4781849498
235	0.4780675037
236	0.4779948282
237	0.477884494
238	0.4777667245
239	0.4776340849
240	0.4774846165
241	0.4773552917
242	0.4772424304
243	0.4771548538
244	0.4771020992
245	0.4770000187
246	0.4769008418
247	0.4768116573
248	0.4767111478
249	0.4765966424
250	0.4764514461
251	0.4763040191
252	0.476245018
253	0.4761256856
254	0.4760523146
255	0.4759192445
256	0.4757636726
257	0.4756915001
258	0.4755928669
259	0.4754925726
260	0.4753610465
261	0.4752792441
262	0.4752254745
263	0.4751569421
264	0.4750540334
265	0.4749365673
266	0.4748327682
267	0.4747002308
268	0.4746082905
269	0.4745268537
270	0.4743845955
271	0.4742656603
272	0.474259352
273	0.4741549187
274	0.4740769581
275	0.4739701131
276	0.4738775639
277	0.4737722054
278	0.4736832265
279	0.4735973276
280	0.473490173
281	0.4734558142
282	0.4733551212
283	0.4732465122
284	0.4731763546
285	0.4731136315
286	0.4730270757
287	0.4729273577
288	0.4728653653
289	0.4728044349
290	0.472750992
291	0.4726585617
292	0.4726074366
293	0.4725253016
294	0.4724856743
295	0.4723948756
296	0.4723359003
297	0.4722802994
298	0.4721812297
299	0.4721021847
300	0.4719935768
301	0.4718792495
302	0.4718415266
303	0.4717369083
304	0.4716516132
305	0.4715690759
306	0.4714555114
307	0.4713968545
308	0.4713669344
309	0.4713021948
310	0.4712607572
311	0.4711732945
312	0.4711029693
313	0.4710141146
314	0.4709598333
315	0.4709285171
316	0.470851089
317	0.4707905303
318	0.470686793
319	0.4706263488
320	0.470599208
321	0.4705402096
322	0.4704265618
323	0.4703573017
324	0.470269096
325	0.4702113822
326	0.4701646736
327	0.4701280444
328	0.4700077001
329	0.4699174847
330	0.469868083
331	0.4697906984
332	0.4696792767
333	0.469636229
334	0.469561829
335	0.4695036774
336	0.4694344885
337	0.4693349684
338	0.4692732963
339	0.4692193463
340	0.4691718388
341	0.4691134593
342	0.4690482179
343	0.468983947
344	0.4689350073
345	0.4688798089
346	0.4688330933
347	0.468761251
348	0.4687179917
349	0.468664648
350	0.4686148547
351	0.4685198143
352	0.4684839865
353	0.4684593173
354	0.4683620983
355	0.468293929
356	0.4682277245
357	0.4681662438
358	0.4681163879
359	0.4680685763
360	0.4680081398
361	0.4679285392
362	0.4678708518
363	0.4678092995
364	0.4677516352
365	0.4676922413
366	0.4676042287
367	0.4675465116
368	0.4674842037
369	0.4674382762
370	0.4673900089
371	0.4673610738
372	0.4673074157
373	0.4672353387
374	0.4672050309
375	0.4671742954
376	0.4670999052
377	0.4670380472
378	0.4669825515
379	0.4669154208
380	0.4668723263
381	0.4668321526
382	0.4668138125
383	0.4667779463
384	0.4666769155
385	0.4666225729
386	0.4665666621
387	0.4664803749
388	0.4664139499
389	0.4663563525
390	0.4663249687
391	0.46629715
392	0.4662555746
393	0.4661640044
394	0.4660925909
395	0.4660868462
396	0.4660451867
397	0.4659849688
398	0.465916838
399	0.4658593148
400	0.4658002727
401	0.4657694843
402	0.4657307341
403	0.465663277
404	0.4656391421
405	0.4656142169
406	0.4655717047
407	0.4655179364
408	0.4654885372
409	0.4654386695
410	0.4653866551
411	0.4653075219
412	0.4652829292
413	0.4651999236
414	0.4651754651
415	0.4651276956
416	0.4650828663
417	0.4650049651
418	0.4649351808
419	0.4649282677
420	0.4648494689
421	0.4647946382
422	0.4647359084
423	0.4647129503
424	0.4646667819
425	0.4646232009
426	0.4645994936
427	0.4645453467
428	0.4644768176
429	0.4644411606
430	0.4644012753
431	0.4643390793
432	0.4643139382
433	0.4642497175
434	0.4642161322
435	0.464148573
436	0.4641080121
437	0.4640813676
438	0.4640177804
439	0.463945812
440	0.4639099833
441	0.4638694292
442	0.4638285888
443	0.4637984067
444	0.4637695074
445	0.4637194699
446	0.4636921772
447	0.4636391856
448	0.4636178432
449	0.4635838159
450	0.4635398732
451	0.4634966974
452	0.4634717312
453	0.4634264289
454	0.4633675977
455	0.463322108
456	0.4632791999
457	0.4632346544
458	0.4631610874
459	0.4630997008
460	0.4630466495
461	0.4630097395
462	0.4629716355
463	0.4629494117
464	0.4629150884
465	0.4628752801
466	0.4628530417
467	0.46281437
468	0.4627636206
469	0.4627181905
470	0.4626672314
471	0.4626065919
472	0.4625906239
473	0.4625611908
474	0.4625419823
475	0.4624944178
476	0.4624506872
477	0.4624177526
478	0.4623770542
479	0.4623368038
480	0.4622919894
481	0.4622597507
482	0.4622270553
483	0.4621890457
484	0.4621375054
485	0.4620954489
486	0.4620533374
487	0.4620147221
488	0.4619586819
489	0.4619147002
490	0.4618868363
491	0.4618434321
492	0.461791789
493	0.4617386517
494	0.4616835494
495	0.4616639379
496	0.4616209416
497	0.4615755831
498	0.4615103365
499	0.461453979
500	0.4614249151
501	0.4613912699
502	0.4613677849
503	0.4613073427
504	0.4612427452
505	0.4611861022
506	0.4611458918
507	0.4611248219
508	0.4610724246
509	0.4610343352
510	0.4609999148
511	0.4609576211
512	0.4609052867
513	0.4608836306
514	0.4608499835
515	0.4608137663
516	0.4607796987
517	0.4607535137
518	0.4607083477
519	0.4606691949
520	0.4606569411
521	0.4606067726
522	0.4605797929
523	0.4605426299
524	0.4605074909
525	0.4604463328
526	0.4604309213
527	0.4603864131
528	0.4603443646
529	0.4602973651
530	0.4602695806
531	0.4602227843
532	0.4601934652
533	0.4601655031
534	0.4601316615
535	0.4601162938
536	0.4600917337
537	0.4600649802
538	0.4600331561
539	0.4599968613
540	0.4599702772
541	0.4599177149
542	0.4598634205
543	0.4598293931
544	0.4597953387
545	0.4597638517
546	0.4597379831
547	0.4597121343
548	0.4596711491
549	0.4596347053
550	0.4595775682
551	0.4595489626
552	0.4595055929
553	0.4594895408
554	0.459459128
555	0.459413597
556	0.459389095
557	0.459357654
558	0.4593096948
559	0.4592424743
560	0.459196981
561	0.4591666635
562	0.4591524166
563	0.4591267019
564	0.4590695368
565	0.4590569849
566	0.459041134
567	0.4589929257
568	0.458974512
569	0.4589334742
570	0.4588959527
571	0.4588792201
572	0.458849211
573	0.458837453
574	0.4588079721
575	0.4587739849
576	0.4587471946
577	0.4587027326
578	0.4586981262
579	0.4586605692
580	0.4586259768
581	0.4585928313
582	0.4585438504
583	0.4584865122
584	0.4584581596
585	0.4584278241
586	0.4583931654
587	0.4583668796
588	0.45835077
589	0.4583158572
590	0.4582752955
591	0.458248666
592	0.4582382921
593	0.4581959401
594	0.4581663226
595	0.4581316567
596	0.4580989862
597	0.4580768004
598	0.458026735
599	0.457986176
600	0.4579488646
601	0.4579363005
602	0.4579151224
603	0.4578818795
604	0.4578646331
605	0.4578317694
606	0.4578033613
607	0.457782354
608	0.457749397
609	0.4576985771
610	0.4576537045
611	0.4576299417
612	0.4575941058
613	0.457573805
614	0.4575273196
615	0.4574773361
616	0.4574405473
617	0.4573980351
618	0.457376868
619	0.4573624493
620	0.4573134296
621	0.4572889587
622	0.4572572189
623	0.4572465216
624	0.4572248461
625	0.4572110743
626	0.4571950597
627	0.4571197874
628	0.4570781205
629	0.4570463111
630	0.457020706
631	0.4569980908
632	0.4569659772
633	0.4569455478
634	0.4568785731
635	0.4568337047
636	0.4568005866
637	0.4567845363
638	0.4567587907
639	0.4567465199
640	0.4566635329
641	0.4566324192
642	0.4566139181
643	0.456576192
644	0.4565290119
645	0.4565040222
646	0.4564978754
647	0.4564670108
648	0.4564027122
649	0.4563502395
650	0.4563222266
651	0.4562865963
652	0.4562544013
653	0.4562216619
654	0.456189271
655	0.4561631807
656	0.4561335278
657	0.4560966372
658	0.4560699843
659	0.4560551728
660	0.4560022891
661	0.4559658794
662	0.4559002548
663	0.4558719868
664	0.4558271799
665	0.4557628113
666	0.4557170923
667	0.4556661298
668	0.4556279845
669	0.4555720545
670	0.4555320926
671	0.4555112639
672	0.4554784082
673	0.4554675802
674	0.4554504131
675	0.4553827623
676	0.4553528903
677	0.455332021
678	0.4552919532
679	0.4552522203
680	0.4552126807
681	0.4551752646
682	0.4551432652
683	0.4551222127
684	0.4550528216
685	0.455019458
686	0.4549905829
687	0.4549598202
688	0.4549209169
689	0.4548580192
690	0.4548134183
691	0.454751041
692	0.4546945958
693	0.4546449916
694	0.4546023066
695	0.4545430234
696	0.4545149301
697	0.4544979306
698	0.4544800152
699	0.4544471554
700	0.4544205583
701	0.4543566803
702	0.4542900344
703	0.4542596911
704	0.4542390427
705	0.4542193004
706	0.4541873451
707	0.4541575866
708	0.4541296936
709	0.4540919102
710	0.4540577015
711	0.4540421095
712	0.4540191698
713	0.4539929755
714	0.4539483815
715	0.4539004856
716	0.453874354
717	0.4538343234
718	0.453759017
719	0.453674011
720	0.4536462614
721	0.4536086864
722	0.4535876501
723	0.4535689238
724	0.4535406597
725	0.4534773755
726	0.4534432089
727	0.4533952361
728	0.453334054
729	0.4533043906
730	0.4532886374
731	0.4532804797
732	0.4532673393
733	0.4532270405
734	0.4532028856
735	0.4531584856
736	0.4531069579
737	0.4530729532
738	0.453050332
739	0.4530072995
740	0.4529591784
741	0.4529166844
742	0.4528888438
743	0.4528684903
744	0.4528214122
745	0.4527919276
746	0.4527650359
747	0.452730171
748	0.4526903396
749	0.452646826
750	0.4526109621
751	0.4525434897
752	0.4524778408
753	0.4524343202
754	0.4523784276
755	0.4523348471
756	0.4523115967
757	0.4522804097
758	0.4522486426
759	0.4521960144
760	0.4521714185
761	0.4521258602
762	0.4520956956
763	0.452044348
764	0.4519850836
765	0.4519448123
766	0.4519111779
767	0.4518526535
768	0.4518174464
769	0.4517774265
770	0.451739836
771	0.4516909934
772	0.4516600766
773	0.4516345286
774	0.4515732263
775	0.451540389
776	0.4514819618
777	0.4514246543
778	0.4514037747
779	0.4513535939
780	0.4512948807
781	0.4512792468
782	0.451243569
783	0.4512071468
784	0.451165588
785	0.4511243343
786	0.4510628856
787	0.451002801
788	0.4509785438
789	0.4509339119
790	0.4508413418
791	0.4508078881
792	0.4507781429
