Threshold,Precision,Recall,F1
0.1,0.3491912464319695,0.9812834224598931,0.5150877192982456
0.15000000000000002,0.36548223350253806,0.9625668449197861,0.5298013245033113
0.20000000000000004,0.38685344827586204,0.9598930481283422,0.5514592933947773
0.25000000000000006,0.40813953488372096,0.9385026737967914,0.5688816855753647
0.30000000000000004,0.42345679012345677,0.9171122994652406,0.5793918918918919
0.3500000000000001,0.436435124508519,0.8903743315508021,0.5857519788918206
0.40000000000000013,0.45365168539325845,0.8636363636363636,0.5948434622467772
0.45000000000000007,0.46846846846846846,0.8342245989304813,0.6
0.5000000000000001,0.4942528735632184,0.8048128342245989,0.612410986775178
0.5500000000000002,0.5238970588235294,0.7620320855614974,0.6209150326797386
0.6000000000000002,0.55625,0.713903743315508,0.6252927400468384
0.6500000000000001,0.5885167464114832,0.6577540106951871,0.6212121212121212
0.7000000000000002,0.6340057636887608,0.5882352941176471,0.6102635228848821
0.7500000000000002,0.6580882352941176,0.4786096256684492,0.5541795665634675
0.8000000000000002,0.6666666666666666,0.34759358288770054,0.45694200351493847
0.8500000000000002,0.782258064516129,0.25935828877005346,0.3895582329317269
0.9000000000000002,0.9056603773584906,0.12834224598930483,0.22482435597189696
